transaction_id,user_id,transaction_type,channel,device_type,amount,transaction_status,timestamp,location,date_mmddyyyy,date_mmddyyyy_slash
bdd640fb-0667-4ad1-9c80-317fa3b1799d,b5ef1ee6-7ff3-44b9-b69f-a399e1bfff1a,Pay Bills,App,iOS,234.63,Success,2024-12-08 02:39:21,General Santos,12082024,12/08/2024
23b8c1e9-3924-46de-beb1-3b9046685257,28a625e1-4133-4ed1-9821-8c7556c8c3c7,Send Money,Partner Outlet,Android,1505.06,Success,2024-10-26 22:05:51,Calamba,10262024,10/26/2024
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,9631be62-13b4-48db-99bc-e2196fb398f4,Cash Out,Partner Outlet,iOS,658.37,Success,2025-03-08 03:26:19,Dasmariñas,03082025,03/08/2025
972a8469-1641-4f82-8b9d-2434e465e150,3dc1e882-0712-4fb9-9cd6-f58eb457bba6,Cash In,App,Android,456.47,Success,2024-10-22 01:54:45,Cainta,10222024,10/22/2024
17fc695a-07a0-4a6e-8822-e8f36c031199,4279dcd6-86e7-4c6c-8800-69fbd4c7ca67,Cash In,App,Android,84.81,Success,2024-12-15 05:41:55,Bacolod,12152024,12/15/2024
9a1de644-815e-46d1-bb8f-aa1837f8a88b,7a134ada-2e51-46bd-9857-0bc325ac7254,Buy Load,App,Android,84.8,Success,2024-10-11 05:11:45,Valenzuela,10112024,10/11/2024
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,bfe46ba0-6706-42f2-9c3d-7f9635c65a81,Pay Bills,Partner Outlet,Web,29.92,Success,2025-01-02 19:29:55,Dasmariñas,01022025,01/02/2025
6b65a6a4-8b81-48f6-b38a-088ca65ed389,ba885454-7497-4326-a157-45a0d658db7d,Online Payment,App,iOS,1005.62,Success,2025-01-19 14:17:53,Calamba,01192025,01/19/2025
47378190-96da-4dac-b2ff-5d2a386ecbe0,b4c754f0-0f44-4302-ae25-acf434cc4768,Pay Bills,App,Android,459.54,Success,2024-12-12 16:28:42,Valenzuela,12122024,12/12/2024
c241330b-01a9-471f-9e8a-774bcf36d58b,a4ba1e5c-f195-4c4c-ace9-b6cb2d12831f,In-store Payment,App,Android,615.63,Success,2025-02-06 23:25:33,Santa Rosa,02062025,02/06/2025
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,1b3e2271-1a71-4bdf-bb6d-e07125b08a57,Receive Money,App,Android,10.4,Success,2024-10-14 18:28:00,Antipolo,10142024,10/14/2024
371ecd7b-27cd-4130-8722-9389571aa876,76fc61e3-d5fe-4180-9333-f00ec2f6b14d,Send Money,App,Web,1751.78,Success,2025-03-13 12:48:14,Davao City,03132025,03/13/2025
1a2a73ed-562b-4f79-8374-59eef50bea63,e312e7dd-a6b8-4e23-9ef9-5050d4838cd3,Send Money,Partner Outlet,Web,893.21,Success,2025-03-05 18:34:44,Makati,03052025,03/05/2025
5be6128e-18c2-4797-a142-ea7d17be3111,1ee5abec-9b53-4a4f-ad09-82b77d76ea43,Pay Bills,Partner Outlet,iOS,119.34,Success,2025-03-15 09:01:26,Calamba,03152025,03/15/2025
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,6c456d93-1b4a-48ae-bde7-e713f7fd8283,Cash In,Partner Outlet,iOS,100.34,Success,2025-02-28 18:28:40,Antipolo,02282025,02/28/2025
759cde66-bacf-43d0-8b1f-9163ce9ff57f,4b662fe0-c789-4c91-8ea5-102b2a14eafd,Cash In,Partner Outlet,iOS,101.31,Pending,2024-11-09 04:24:24,Baguio,11092024,11/09/2024
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,8b0ed975-e20e-4794-9de5-d2eb28596e80,Online Payment,Partner Outlet,iOS,181.38,Success,2024-11-26 13:05:49,Manila,11262024,11/26/2024
4b0dbb41-8d52-48f1-942c-3fe860e7a113,44a912f7-49f8-4292-9d30-6afa5f380b5b,In-store Payment,Partner Outlet,Android,371.96,Success,2024-11-27 00:05:42,Cagayan de Oro,11272024,11/27/2024
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,93be6e0f-6776-4388-8d6f-ccd5d64f7187,Send Money,Partner Outlet,iOS,282.77,Success,2024-10-21 06:36:15,Cebu City,10212024,10/21/2024
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,5ff2b09f-084a-4ec4-bb91-80f58daf7c97,Online Payment,Partner Outlet,iOS,172.11,Success,2025-02-06 12:28:25,Dasmariñas,02062025,02/06/2025
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,d5e652b7-1a83-4240-b0a3-a4122cfc142d,Cash In,Partner Outlet,Web,473.19,Success,2025-03-11 19:33:05,Manila,03112025,03/11/2025
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,020359c1-941e-42e9-b492-12e96cc1bd55,Online Payment,Partner Outlet,Android,75.12,Success,2024-12-07 08:29:52,Iloilo City,12072024,12/07/2024
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,ce74ec56-db42-4295-95a2-b7e4351399ed,Receive Money,App,Android,172.76,Success,2025-04-01 17:50:20,Davao City,04012025,04/01/2025
7412b293-4729-4739-a14f-f3d719db3ad0,e6035c26-0793-43db-afeb-0ef22dde29d8,Cash In,Partner Outlet,Android,228.14,Success,2025-03-29 02:27:41,General Santos,03292025,03/29/2025
29a3b2e9-5d65-4441-9588-42dea2bc372f,feb1e270-69c8-4b17-bf33-5ada2e20766f,Request Money,Partner Outlet,Android,304.47,Success,2025-01-01 10:53:50,Calamba,01012025,01/01/2025
ab9099a4-35a2-40ae-9af3-05535ec42e08,cb725702-9192-418f-bbe3-f251f6096928,In-store Payment,Partner Outlet,Web,768.97,Success,2025-03-07 09:55:41,Cebu City,03072025,03/07/2025
aefcfad8-efc8-4849-b3aa-7efe4458a885,ff33c8fc-187c-4e97-838f-e1188cb2214e,Cash Out,App,Android,111.37,Success,2025-02-24 03:09:17,Cebu City,02242025,02/24/2025
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,2f33d653-4421-4249-a3f6-b904fab34b7f,Send Money,Partner Outlet,Web,361.01,Success,2024-11-15 18:31:24,Cagayan de Oro,11152024,11/15/2024
3eabedcb-baa8-4dd4-88bd-64072bcfbe01,7ed62e8c-44c5-4f6a-a5c3-ea24adb94578,Buy Load,Partner Outlet,Android,448.75,Success,2024-11-02 11:06:15,Calamba,11022024,11/02/2024
